Genome	Division	nhr_file	nin_file	nsq_file
Dendroctonus_ponderosae	Invertebrate metazoa	<a href='LIRBase_blastdb/Dendroctonus_ponderosae.nhr' target='_blank'>Dendroctonus_ponderosae.nhr</a>	<a href='LIRBase_blastdb/Dendroctonus_ponderosae.nin' target='_blank'>Dendroctonus_ponderosae.nin</a>	<a href='LIRBase_blastdb/Dendroctonus_ponderosae.nsq' target='_blank'>Dendroctonus_ponderosae.nsq</a>
Dinothrombium_tinctorium	Invertebrate metazoa	<a href='LIRBase_blastdb/Dinothrombium_tinctorium.nhr' target='_blank'>Dinothrombium_tinctorium.nhr</a>	<a href='LIRBase_blastdb/Dinothrombium_tinctorium.nin' target='_blank'>Dinothrombium_tinctorium.nin</a>	<a href='LIRBase_blastdb/Dinothrombium_tinctorium.nsq' target='_blank'>Dinothrombium_tinctorium.nsq</a>
Drosophila_ananassae	Invertebrate metazoa	<a href='LIRBase_blastdb/Drosophila_ananassae.nhr' target='_blank'>Drosophila_ananassae.nhr</a>	<a href='LIRBase_blastdb/Drosophila_ananassae.nin' target='_blank'>Drosophila_ananassae.nin</a>	<a href='LIRBase_blastdb/Drosophila_ananassae.nsq' target='_blank'>Drosophila_ananassae.nsq</a>
Drosophila_erecta	Invertebrate metazoa	<a href='LIRBase_blastdb/Drosophila_erecta.nhr' target='_blank'>Drosophila_erecta.nhr</a>	<a href='LIRBase_blastdb/Drosophila_erecta.nin' target='_blank'>Drosophila_erecta.nin</a>	<a href='LIRBase_blastdb/Drosophila_erecta.nsq' target='_blank'>Drosophila_erecta.nsq</a>
Drosophila_grimshawi	Invertebrate metazoa	<a href='LIRBase_blastdb/Drosophila_grimshawi.nhr' target='_blank'>Drosophila_grimshawi.nhr</a>	<a href='LIRBase_blastdb/Drosophila_grimshawi.nin' target='_blank'>Drosophila_grimshawi.nin</a>	<a href='LIRBase_blastdb/Drosophila_grimshawi.nsq' target='_blank'>Drosophila_grimshawi.nsq</a>
Drosophila_melanogaster	Invertebrate metazoa	<a href='LIRBase_blastdb/Drosophila_melanogaster.nhr' target='_blank'>Drosophila_melanogaster.nhr</a>	<a href='LIRBase_blastdb/Drosophila_melanogaster.nin' target='_blank'>Drosophila_melanogaster.nin</a>	<a href='LIRBase_blastdb/Drosophila_melanogaster.nsq' target='_blank'>Drosophila_melanogaster.nsq</a>
Drosophila_mojavensis	Invertebrate metazoa	<a href='LIRBase_blastdb/Drosophila_mojavensis.nhr' target='_blank'>Drosophila_mojavensis.nhr</a>	<a href='LIRBase_blastdb/Drosophila_mojavensis.nin' target='_blank'>Drosophila_mojavensis.nin</a>	<a href='LIRBase_blastdb/Drosophila_mojavensis.nsq' target='_blank'>Drosophila_mojavensis.nsq</a>
Drosophila_persimilis	Invertebrate metazoa	<a href='LIRBase_blastdb/Drosophila_persimilis.nhr' target='_blank'>Drosophila_persimilis.nhr</a>	<a href='LIRBase_blastdb/Drosophila_persimilis.nin' target='_blank'>Drosophila_persimilis.nin</a>	<a href='LIRBase_blastdb/Drosophila_persimilis.nsq' target='_blank'>Drosophila_persimilis.nsq</a>
Drosophila_pseudoobscura	Invertebrate metazoa	<a href='LIRBase_blastdb/Drosophila_pseudoobscura.nhr' target='_blank'>Drosophila_pseudoobscura.nhr</a>	<a href='LIRBase_blastdb/Drosophila_pseudoobscura.nin' target='_blank'>Drosophila_pseudoobscura.nin</a>	<a href='LIRBase_blastdb/Drosophila_pseudoobscura.nsq' target='_blank'>Drosophila_pseudoobscura.nsq</a>
Drosophila_sechellia	Invertebrate metazoa	<a href='LIRBase_blastdb/Drosophila_sechellia.nhr' target='_blank'>Drosophila_sechellia.nhr</a>	<a href='LIRBase_blastdb/Drosophila_sechellia.nin' target='_blank'>Drosophila_sechellia.nin</a>	<a href='LIRBase_blastdb/Drosophila_sechellia.nsq' target='_blank'>Drosophila_sechellia.nsq</a>
Drosophila_simulans	Invertebrate metazoa	<a href='LIRBase_blastdb/Drosophila_simulans.nhr' target='_blank'>Drosophila_simulans.nhr</a>	<a href='LIRBase_blastdb/Drosophila_simulans.nin' target='_blank'>Drosophila_simulans.nin</a>	<a href='LIRBase_blastdb/Drosophila_simulans.nsq' target='_blank'>Drosophila_simulans.nsq</a>
Drosophila_virilis	Invertebrate metazoa	<a href='LIRBase_blastdb/Drosophila_virilis.nhr' target='_blank'>Drosophila_virilis.nhr</a>	<a href='LIRBase_blastdb/Drosophila_virilis.nin' target='_blank'>Drosophila_virilis.nin</a>	<a href='LIRBase_blastdb/Drosophila_virilis.nsq' target='_blank'>Drosophila_virilis.nsq</a>
Drosophila_willistoni	Invertebrate metazoa	<a href='LIRBase_blastdb/Drosophila_willistoni.nhr' target='_blank'>Drosophila_willistoni.nhr</a>	<a href='LIRBase_blastdb/Drosophila_willistoni.nin' target='_blank'>Drosophila_willistoni.nin</a>	<a href='LIRBase_blastdb/Drosophila_willistoni.nsq' target='_blank'>Drosophila_willistoni.nsq</a>
Drosophila_yakuba	Invertebrate metazoa	<a href='LIRBase_blastdb/Drosophila_yakuba.nhr' target='_blank'>Drosophila_yakuba.nhr</a>	<a href='LIRBase_blastdb/Drosophila_yakuba.nin' target='_blank'>Drosophila_yakuba.nin</a>	<a href='LIRBase_blastdb/Drosophila_yakuba.nsq' target='_blank'>Drosophila_yakuba.nsq</a>
Folsomia_candida	Invertebrate metazoa	<a href='LIRBase_blastdb/Folsomia_candida.nhr' target='_blank'>Folsomia_candida.nhr</a>	<a href='LIRBase_blastdb/Folsomia_candida.nin' target='_blank'>Folsomia_candida.nin</a>	<a href='LIRBase_blastdb/Folsomia_candida.nsq' target='_blank'>Folsomia_candida.nsq</a>
Heliconius_melpomene	Invertebrate metazoa	<a href='LIRBase_blastdb/Heliconius_melpomene.nhr' target='_blank'>Heliconius_melpomene.nhr</a>	<a href='LIRBase_blastdb/Heliconius_melpomene.nin' target='_blank'>Heliconius_melpomene.nin</a>	<a href='LIRBase_blastdb/Heliconius_melpomene.nsq' target='_blank'>Heliconius_melpomene.nsq</a>
Helobdella_robusta	Invertebrate metazoa	<a href='LIRBase_blastdb/Helobdella_robusta.nhr' target='_blank'>Helobdella_robusta.nhr</a>	<a href='LIRBase_blastdb/Helobdella_robusta.nin' target='_blank'>Helobdella_robusta.nin</a>	<a href='LIRBase_blastdb/Helobdella_robusta.nsq' target='_blank'>Helobdella_robusta.nsq</a>
Hofstenia_miamia	Invertebrate metazoa	<a href='LIRBase_blastdb/Hofstenia_miamia.nhr' target='_blank'>Hofstenia_miamia.nhr</a>	<a href='LIRBase_blastdb/Hofstenia_miamia.nin' target='_blank'>Hofstenia_miamia.nin</a>	<a href='LIRBase_blastdb/Hofstenia_miamia.nsq' target='_blank'>Hofstenia_miamia.nsq</a>
Ixodes_scapularis	Invertebrate metazoa	<a href='LIRBase_blastdb/Ixodes_scapularis.nhr' target='_blank'>Ixodes_scapularis.nhr</a>	<a href='LIRBase_blastdb/Ixodes_scapularis.nin' target='_blank'>Ixodes_scapularis.nin</a>	<a href='LIRBase_blastdb/Ixodes_scapularis.nsq' target='_blank'>Ixodes_scapularis.nsq</a>
Lepeophtheirus_salmonis	Invertebrate metazoa	<a href='LIRBase_blastdb/Lepeophtheirus_salmonis.nhr' target='_blank'>Lepeophtheirus_salmonis.nhr</a>	<a href='LIRBase_blastdb/Lepeophtheirus_salmonis.nin' target='_blank'>Lepeophtheirus_salmonis.nin</a>	<a href='LIRBase_blastdb/Lepeophtheirus_salmonis.nsq' target='_blank'>Lepeophtheirus_salmonis.nsq</a>
Leptotrombidium_deliense	Invertebrate metazoa	<a href='LIRBase_blastdb/Leptotrombidium_deliense.nhr' target='_blank'>Leptotrombidium_deliense.nhr</a>	<a href='LIRBase_blastdb/Leptotrombidium_deliense.nin' target='_blank'>Leptotrombidium_deliense.nin</a>	<a href='LIRBase_blastdb/Leptotrombidium_deliense.nsq' target='_blank'>Leptotrombidium_deliense.nsq</a>
Lingula_anatina	Invertebrate metazoa	<a href='LIRBase_blastdb/Lingula_anatina.nhr' target='_blank'>Lingula_anatina.nhr</a>	<a href='LIRBase_blastdb/Lingula_anatina.nin' target='_blank'>Lingula_anatina.nin</a>	<a href='LIRBase_blastdb/Lingula_anatina.nsq' target='_blank'>Lingula_anatina.nsq</a>
Loa_loa	Invertebrate metazoa	<a href='LIRBase_blastdb/Loa_loa.nhr' target='_blank'>Loa_loa.nhr</a>	<a href='LIRBase_blastdb/Loa_loa.nin' target='_blank'>Loa_loa.nin</a>	<a href='LIRBase_blastdb/Loa_loa.nsq' target='_blank'>Loa_loa.nsq</a>
Lottia_gigantea	Invertebrate metazoa	<a href='LIRBase_blastdb/Lottia_gigantea.nhr' target='_blank'>Lottia_gigantea.nhr</a>	<a href='LIRBase_blastdb/Lottia_gigantea.nin' target='_blank'>Lottia_gigantea.nin</a>	<a href='LIRBase_blastdb/Lottia_gigantea.nsq' target='_blank'>Lottia_gigantea.nsq</a>
Lucilia_cuprina	Invertebrate metazoa	<a href='LIRBase_blastdb/Lucilia_cuprina.nhr' target='_blank'>Lucilia_cuprina.nhr</a>	<a href='LIRBase_blastdb/Lucilia_cuprina.nin' target='_blank'>Lucilia_cuprina.nin</a>	<a href='LIRBase_blastdb/Lucilia_cuprina.nsq' target='_blank'>Lucilia_cuprina.nsq</a>
Mayetiola_destructor	Invertebrate metazoa	<a href='LIRBase_blastdb/Mayetiola_destructor.nhr' target='_blank'>Mayetiola_destructor.nhr</a>	<a href='LIRBase_blastdb/Mayetiola_destructor.nin' target='_blank'>Mayetiola_destructor.nin</a>	<a href='LIRBase_blastdb/Mayetiola_destructor.nsq' target='_blank'>Mayetiola_destructor.nsq</a>
Megaselia_scalaris	Invertebrate metazoa	<a href='LIRBase_blastdb/Megaselia_scalaris.nhr' target='_blank'>Megaselia_scalaris.nhr</a>	<a href='LIRBase_blastdb/Megaselia_scalaris.nin' target='_blank'>Megaselia_scalaris.nin</a>	<a href='LIRBase_blastdb/Megaselia_scalaris.nsq' target='_blank'>Megaselia_scalaris.nsq</a>
Melitaea_cinxia	Invertebrate metazoa	<a href='LIRBase_blastdb/Melitaea_cinxia.nhr' target='_blank'>Melitaea_cinxia.nhr</a>	<a href='LIRBase_blastdb/Melitaea_cinxia.nin' target='_blank'>Melitaea_cinxia.nin</a>	<a href='LIRBase_blastdb/Melitaea_cinxia.nsq' target='_blank'>Melitaea_cinxia.nsq</a>
Mnemiopsis_leidyi	Invertebrate metazoa	<a href='LIRBase_blastdb/Mnemiopsis_leidyi.nhr' target='_blank'>Mnemiopsis_leidyi.nhr</a>	<a href='LIRBase_blastdb/Mnemiopsis_leidyi.nin' target='_blank'>Mnemiopsis_leidyi.nin</a>	<a href='LIRBase_blastdb/Mnemiopsis_leidyi.nsq' target='_blank'>Mnemiopsis_leidyi.nsq</a>
Nasonia_vitripennis	Invertebrate metazoa	<a href='LIRBase_blastdb/Nasonia_vitripennis.nhr' target='_blank'>Nasonia_vitripennis.nhr</a>	<a href='LIRBase_blastdb/Nasonia_vitripennis.nin' target='_blank'>Nasonia_vitripennis.nin</a>	<a href='LIRBase_blastdb/Nasonia_vitripennis.nsq' target='_blank'>Nasonia_vitripennis.nsq</a>
Nematostella_vectensis	Invertebrate metazoa	<a href='LIRBase_blastdb/Nematostella_vectensis.nhr' target='_blank'>Nematostella_vectensis.nhr</a>	<a href='LIRBase_blastdb/Nematostella_vectensis.nin' target='_blank'>Nematostella_vectensis.nin</a>	<a href='LIRBase_blastdb/Nematostella_vectensis.nsq' target='_blank'>Nematostella_vectensis.nsq</a>
Onchocerca_volvulus	Invertebrate metazoa	<a href='LIRBase_blastdb/Onchocerca_volvulus.nhr' target='_blank'>Onchocerca_volvulus.nhr</a>	<a href='LIRBase_blastdb/Onchocerca_volvulus.nin' target='_blank'>Onchocerca_volvulus.nin</a>	<a href='LIRBase_blastdb/Onchocerca_volvulus.nsq' target='_blank'>Onchocerca_volvulus.nsq</a>
Orchesella_cincta	Invertebrate metazoa	<a href='LIRBase_blastdb/Orchesella_cincta.nhr' target='_blank'>Orchesella_cincta.nhr</a>	<a href='LIRBase_blastdb/Orchesella_cincta.nin' target='_blank'>Orchesella_cincta.nin</a>	<a href='LIRBase_blastdb/Orchesella_cincta.nsq' target='_blank'>Orchesella_cincta.nsq</a>
Pediculus_humanus	Invertebrate metazoa	<a href='LIRBase_blastdb/Pediculus_humanus.nhr' target='_blank'>Pediculus_humanus.nhr</a>	<a href='LIRBase_blastdb/Pediculus_humanus.nin' target='_blank'>Pediculus_humanus.nin</a>	<a href='LIRBase_blastdb/Pediculus_humanus.nsq' target='_blank'>Pediculus_humanus.nsq</a>
