Accession	Division	Abbre
Eucommia_ulmoides	Plant	euup
Fragaria_iinumae	Plant	frip
Fragaria_nipponica	Plant	frnp
Fragaria_nubicola	Plant	frup
Fragaria_orientalis	Plant	frop
Fragaria_vesca	Plant	frvp
Fragaria_x_ananassa	Plant	frxp
Galdieria_sulphuraria	Plant	gasp
Gastrodia_elata	Plant	gaep
Glycine_max.Williams_82	Plant	gmwp
Glycine_max.Zhonghuang_13	Plant	gmzp
Helianthus_annuus	Plant	heap
Klebsormidium_flaccidum	Plant	klfp
Leersia_perrieri	Plant	lepp
Lupinus_angustifolius	Plant	luap
Malus_x_domestica.GDDH13	Plant	mxgp
Malus_x_domestica.HFTH1	Plant	mxhp
Manihot_esculenta	Plant	maep
Medicago_truncatula	Plant	metp
Musa_acuminata.Banksii	Plant	mubp
Musa_acuminata.Calcutta4	Plant	mucp
Musa_acuminata.Pahang	Plant	mupp
Musa_acuminata.Zebrina	Plant	muzp
Musa_balbisiana	Plant	mulp
Musa_itinerans	Plant	muip
Musa_schizocarpa	Plant	musp
Nicotiana_attenuata	Plant	niap
Nymphaea_colorata	Plant	nycp
Olea_europaea	Plant	olep
Oryza_barthii	Plant	orbp
Oryza_brachyantha	Plant	orrp
Oryza_glaberrima	Plant	orgp
Oryza_glumaepatula	Plant	orlp
Oryza_granulata	Plant	orap
Oryza_longistaminata	Plant	orip
Oryza_meridionalis	Plant	ormp
Oryza_nivara	Plant	ornp
Oryza_punctata	Plant	orpp
Oryza_rufipogon	Plant	orup
Oryza_sativa.93-11	Plant	osnp
Oryza_sativa.DJ123	Plant	osdp
Oryza_sativa.IR64	Plant	osip
Oryza_sativa.IR8	Plant	osrp
Oryza_sativa.MH63	Plant	osmp
Oryza_sativa.N22	Plant	ostp
Oryza_sativa.Nipponbare	Plant	ospp
Oryza_sativa.PA64s	Plant	osap
Oryza_sativa.R498	Plant	osfp
Oryza_sativa.ZH11	Plant	oshp
Oryza_sativa.ZS97	Plant	oszp
Ostreococcus_lucimarinus	Plant	oslp
Panicum_hallii.FIL2	Plant	pafp
Panicum_hallii.HAL2	Plant	pahp
Panicum_miliaceum	Plant	pamp
Papaver_somniferum	Plant	pasp
Petunia_axillaris	Plant	peap
Petunia_inflata	Plant	peip
Phaseolus_vulgaris.BAT93	Plant	pvbp
Phaseolus_vulgaris.PhaVulg1_0	Plant	pvpp
Physcomitrella_patens	Plant	phpp
Pistacia_vera	Plant	pivp
Pisum_sativum	Plant	pisp
Populus_alba	Plant	poap
Populus_trichocarpa	Plant	potp
Prunus_avium	Plant	prap
Prunus_domestica	Plant	prdp
Prunus_dulcis.Lauranne	Plant	prlp
Prunus_dulcis.Texas	Plant	prtp
Prunus_persica	Plant	prpp
Prunus_yedoensis	Plant	pryp
Pyrus_betulifolia	Plant	pybp
Pyrus_bretschneideri	Plant	pyrp
Pyrus_communis	Plant	pycp
Raphanus_raphanistrum	Plant	rarp
Raphanus_sativus	Plant	rasp
Rosa_chinensis	Plant	rocp
Rosa_multiflora	Plant	romp
Rubus_occidentalis	Plant	ruop
Selaginella_moellendorffii	Plant	semp
Setaria_italica	Plant	seip
Solanum_commersonii	Plant	socp
Solanum_lycopersicum	Plant	solp
Solanum_tuberosum	Plant	sotp
Sorghum_bicolor	Plant	sobp
Taraxacum_kok-saghyz	Plant	takp
Thellungiella_salsuginea	Plant	thsp
Theobroma_cacao	Plant	thcp
Theobroma_cacao.Matina1-6	Plant	thmp
Trifolium_pratense	Plant	trpp
Vernicia_fordii	Plant	vefp
Vigna_angularis.Jingnong6	Plant	vijp
Vigna_angularis.Vigan1	Plant	vivp
Vigna_radiata	Plant	virp
Vitis_vinifera	Plant	viip
Volvox_carteri	Plant	vocp
Zea_mays.B73	Plant	zmbp
Zea_mays.CML247	Plant	zmcp
Zea_mays.HuangZaoSi	Plant	zmhp
Zea_mays.Mo17	Plant	zmmp
Zea_mays.SK	Plant	zmsp
Zea_mays.W22	Plant	zmwp
Acanthochromis_polyacanthus	Vertebrate	acpv
Ailuropoda_melanoleuca	Vertebrate	aimv
Amphilophus_citrinellus	Vertebrate	amcv
Amphiprion_ocellaris	Vertebrate	amov
Amphiprion_percula	Vertebrate	ampv
Anabas_testudineus	Vertebrate	antv
Anas_platyrhynchos_platyrhynchos	Vertebrate	anpv
Anolis_carolinensis	Vertebrate	ancv
Anser_brachyrhynchus	Vertebrate	anbv
Aotus_nancymaae	Vertebrate	aonv
Apteryx_haastii	Vertebrate	aphv
Apteryx_owenii	Vertebrate	apov
Apteryx_rowi	Vertebrate	aprv
Astatotilapia_calliptera	Vertebrate	ascv
Astyanax_mexicanus	Vertebrate	asmv
Astyanax_mexicanus_pachon	Vertebrate	aspv
Betta_splendens	Vertebrate	besv
Bison_bison_bison	Vertebrate	bibv
Bos_indicus_hybrid	Vertebrate	boiv
Bos_mutus	Vertebrate	bomv
Bos_taurus	Vertebrate	botv
Bos_taurus_hybrid	Vertebrate	bohv
Calidris_pugnax	Vertebrate	capv
Calidris_pygmaea	Vertebrate	cayv
Callithrix_jacchus	Vertebrate	cajv
Callorhinchus_milii	Vertebrate	camv
Canis_familiaris	Vertebrate	cafv
Canis_lupus_dingo	Vertebrate	calv
Capra_hircus	Vertebrate	cahv
Carlito_syrichta	Vertebrate	casv
Castor_canadensis	Vertebrate	cacv
Cavia_aperea	Vertebrate	caav
Cavia_porcellus	Vertebrate	caov
Cebus_capucinus	Vertebrate	cecv
Cercocebus_atys	Vertebrate	ceav
Chelonoidis_abingdonii	Vertebrate	chav
Chinchilla_lanigera	Vertebrate	chlv
Chlorocebus_sabaeus	Vertebrate	chsv
Choloepus_hoffmanni	Vertebrate	chhv
Chrysemys_picta_bellii	Vertebrate	chpv
Ciona_intestinalis	Vertebrate	ciiv
Ciona_savignyi	Vertebrate	cisv
Colobus_angolensis_palliatus	Vertebrate	coav
Cottoperca_gobio	Vertebrate	cogv
Coturnix_japonica	Vertebrate	cojv
Cricetulus_griseus_chok1gshd	Vertebrate	crgv
Cricetulus_griseus_crigri	Vertebrate	crcv
Cricetulus_griseus_picr	Vertebrate	crpv
Crocodylus_porosus	Vertebrate	crov
Cyanistes_caeruleus	Vertebrate	cycv
Cynoglossus_semilaevis	Vertebrate	cysv
Cyprinodon_variegatus	Vertebrate	cyvv
Dasypus_novemcinctus	Vertebrate	danv
Denticeps_clupeoides	Vertebrate	decv
Dipodomys_ordii	Vertebrate	diov
Dromaius_novaehollandiae	Vertebrate	drnv
Echinops_telfairi	Vertebrate	ectv
Electrophorus_electricus	Vertebrate	elev
Equus_asinus_asinus	Vertebrate	eqav
Equus_caballus	Vertebrate	eqcv
Erinaceus_europaeus	Vertebrate	erev
Erpetoichthys_calabaricus	Vertebrate	ercv
Esox_lucius	Vertebrate	eslv
Felis_catus	Vertebrate	fecv
Ficedula_albicollis	Vertebrate	fiav
Fukomys_damarensis	Vertebrate	fudv
Fundulus_heteroclitus	Vertebrate	fuhv
Gadus_morhua	Vertebrate	gamv
Gallus_gallus	Vertebrate	gagv
Gambusia_affinis	Vertebrate	gaav
Gasterosteus_aculeatus	Vertebrate	gacv
Gopherus_agassizii	Vertebrate	goav
Gorilla_gorilla	Vertebrate	gogv
Gouania_willdenowi	Vertebrate	gowv
Haplochromis_burtoni	Vertebrate	habv
Heterocephalus_glaber_female	Vertebrate	hegv
Heterocephalus_glaber_male	Vertebrate	hemv
Hippocampus_comes	Vertebrate	hicv
Homo_sapiens	Vertebrate	hosv
Hucho_hucho	Vertebrate	huhv
Ictalurus_punctatus	Vertebrate	icpv
Ictidomys_tridecemlineatus	Vertebrate	ictv
Jaculus_jaculus	Vertebrate	jajv
Junco_hyemalis	Vertebrate	juhv
Kryptolebias_marmoratus	Vertebrate	krmv
Labrus_bergylta	Vertebrate	labv
Larimichthys_crocea	Vertebrate	lacv
Lates_calcarifer	Vertebrate	laav
Latimeria_chalumnae	Vertebrate	lahv
Lepidothrix_coronata	Vertebrate	lecv
Lepisosteus_oculatus	Vertebrate	leov
Lonchura_striata_domestica	Vertebrate	losv
Loxodonta_africana	Vertebrate	loav
Macaca_fascicularis	Vertebrate	mafv
Macaca_mulatta	Vertebrate	mamv
Macaca_nemestrina	Vertebrate	manv
Manacus_vitellinus	Vertebrate	mavv
Mandrillus_leucophaeus	Vertebrate	malv
Marmota_marmota_marmota	Vertebrate	maav
Mastacembelus_armatus	Vertebrate	marv
Maylandia_zebra	Vertebrate	mazv
Meleagris_gallopavo	Vertebrate	megv
Melopsittacus_undulatus	Vertebrate	meuv
Meriones_unguiculatus	Vertebrate	menv
Mesocricetus_auratus	Vertebrate	meav
Microcebus_murinus	Vertebrate	mimv
Microtus_ochrogaster	Vertebrate	miov
Mola_mola	Vertebrate	momv
Monodelphis_domestica	Vertebrate	modv
Monopterus_albus	Vertebrate	moav
Mus_caroli	Vertebrate	mucv
Mus_musculus_129s1svimj	Vertebrate	musv
Mus_musculus_aj	Vertebrate	muav
Mus_musculus_akrj	Vertebrate	mukv
Mus_musculus_balbcj	Vertebrate	mubv
Mus_musculus_c3hhej	Vertebrate	muhv
Mus_musculus_c57bl6nj	Vertebrate	mulv
Mus_musculus_casteij	Vertebrate	mutv
Mus_musculus_cbaj	Vertebrate	mujv
Mus_musculus_dba2j	Vertebrate	mudv
Mus_musculus_fvbnj	Vertebrate	mufv
Mus_musculus_lpj	Vertebrate	mupv
Mus_musculus_nodshiltj	Vertebrate	muov
Mus_musculus_nzohlltj	Vertebrate	muzv
Mus_musculus_pwkphj	Vertebrate	muwv
Mus_musculus_wsbeij	Vertebrate	muiv
Mus_pahari	Vertebrate	murv
Mus_spicilegus	Vertebrate	muuv
Mus_spretus	Vertebrate	mspv
Mustela_putorius_furo	Vertebrate	mpfv
Myotis_lucifugus	Vertebrate	mylv
Nannospalax_galili	Vertebrate	nagv
Neolamprologus_brichardi	Vertebrate	nebv
Neovison_vison	Vertebrate	nevv
Nomascus_leucogenys	Vertebrate	nolv
Notamacropus_eugenii	Vertebrate	noev
Notechis_scutatus	Vertebrate	nosv
Nothoprocta_perdicaria	Vertebrate	nopv
Numida_meleagris	Vertebrate	numv
Ochotona_princeps	Vertebrate	ocpv
Octodon_degus	Vertebrate	ocdv
Oreochromis_niloticus	Vertebrate	ornv
Ornithorhynchus_anatinus	Vertebrate	orav
Oryctolagus_cuniculus	Vertebrate	orcv
Oryzias_latipes	Vertebrate	orlv
Oryzias_latipes_hni	Vertebrate	orhv
Oryzias_latipes_hsok	Vertebrate	orsv
Oryzias_melastigma	Vertebrate	ormv
Otolemur_garnettii	Vertebrate	otgv
Ovis_aries	Vertebrate	ovav
Pan_paniscus	Vertebrate	papv
Pan_troglodytes	Vertebrate	patv
Panthera_pardus	Vertebrate	paav
Panthera_tigris_altaica	Vertebrate	ptav
Papio_anubis	Vertebrate	panv
Parambassis_ranga	Vertebrate	parv
Paramormyrops_kingsleyae	Vertebrate	pakv
Parus_major	Vertebrate	pamv
Pelodiscus_sinensis	Vertebrate	pesv
Periophthalmus_magnuspinnatus	Vertebrate	pemv
Peromyscus_maniculatus_bairdii	Vertebrate	pebv
Petromyzon_marinus	Vertebrate	peav
Phascolarctos_cinereus	Vertebrate	phcv
Piliocolobus_tephrosceles	Vertebrate	pitv
Poecilia_formosa	Vertebrate	pofv
Poecilia_latipinna	Vertebrate	polv
Poecilia_mexicana	Vertebrate	pomv
Poecilia_reticulata	Vertebrate	porv
Pogona_vitticeps	Vertebrate	povv
Pongo_abelii	Vertebrate	poav
Procavia_capensis	Vertebrate	prcv
Prolemur_simus	Vertebrate	prsv
Propithecus_coquereli	Vertebrate	prov
Pteropus_vampyrus	Vertebrate	ptvv
Pundamilia_nyererei	Vertebrate	punv
Pygocentrus_nattereri	Vertebrate	pynv
Rattus_norvegicus	Vertebrate	ranv
Rhinopithecus_bieti	Vertebrate	rhbv
Rhinopithecus_roxellana	Vertebrate	rhrv
Saimiri_boliviensis_boliviensis	Vertebrate	sabv
Salvator_merianae	Vertebrate	samv
Sarcophilus_harrisii	Vertebrate	sahv
Scleropages_formosus	Vertebrate	scfv
Scophthalmus_maximus	Vertebrate	scmv
Serinus_canaria	Vertebrate	secv
Seriola_dumerili	Vertebrate	sedv
Seriola_lalandi_dorsalis	Vertebrate	selv
Sorex_araneus	Vertebrate	soav
Spermophilus_dauricus	Vertebrate	spdv
Sphenodon_punctatus	Vertebrate	sppv
Stegastes_partitus	Vertebrate	stpv
Sus_scrofa	Vertebrate	susv
Taeniopygia_guttata	Vertebrate	tagv
Takifugu_rubripes	Vertebrate	tarv
Tetraodon_nigroviridis	Vertebrate	tenv
Theropithecus_gelada	Vertebrate	thgv
Tupaia_belangeri	Vertebrate	tubv
Tursiops_truncatus	Vertebrate	tutv
Urocitellus_parryii	Vertebrate	urpv
Ursus_americanus	Vertebrate	urav
Ursus_maritimus	Vertebrate	urmv
Vicugna_pacos	Vertebrate	vipv
Vombatus_ursinus	Vertebrate	vouv
Vulpes_vulpes	Vertebrate	vuvv
Xenopus_tropicalis	Vertebrate	xetv
Xiphophorus_couchianus	Vertebrate	xicv
Xiphophorus_maculatus	Vertebrate	ximv
Zonotrichia_albicollis	Vertebrate	zoav
